Subcategory,Counts,Green Enhanced Skills,Green Increased Demand,Green New and Emerging,Green,Green %
Structured Finance,863,139,66,101,306,35.4577056778679
Malware Protection,612,28,52,137,217,35.45751633986928
Financial Analysis,14686,2918,469,1794,5181,35.27849652730492
Aquaculture,125,14,18,12,44,35.2
Graphic and Visual Design,7692,886,685,1116,2687,34.93239729589184
Pharmacy,17423,2195,2027,1863,6085,34.925099007059636
Banking Services,6778,833,696,827,2356,34.759516081439955
Neuroscience,305,25,64,17,106,34.75409836065574
Underwriting,3542,478,170,570,1218,34.387351778656125
Animation and Game Design,6164,319,1331,467,2117,34.344581440622974
Business Management,279528,34284,20135,40900,95319,34.099982828196104
Sea and Waterway Transportation,128,20,8,15,43,33.59375
Personal Attributes,347680,41871,39709,34654,116234,33.43131615278417
Payment Processing and Collection,10694,1617,1077,873,3567,33.35515242191883
Cannabis,9,0,0,3,3,33.333333333333336
Intelligence Collection and Analysis,2146,165,129,420,714,33.271202236719475
Transportation Security,163,17,21,16,54,33.12883435582822
Education Software and Technology,3699,584,323,318,1225,33.11705866450392
Performance Management,17092,2213,1026,2409,5648,33.04469927451439
Disaster Management,1095,100,142,116,358,32.694063926940636
Document Management,14055,1280,1850,1444,4574,32.543578797580935
Basic Technical Knowledge,46290,5012,5697,4295,15004,32.41304817455174
Mortgage Lending,5938,1120,312,468,1900,31.997305490063994
General Finance,117475,16978,6399,14166,37543,31.958288997659075
Events and Conferences,4667,629,222,634,1485,31.81915577458753
Safety and Security,15925,1241,1530,2253,5024,31.547880690737834
First Aid,9078,1632,589,572,2793,30.76668869795109
Language Competency,60078,6418,6210,5681,18309,30.475382003395584
Genetic Disorders,92,5,15,8,28,30.434782608695652
Construction Estimating,3583,323,92,666,1081,30.170248395199554
Counseling Services,18102,1759,1694,1982,5435,30.024306706441276
Social Skills,66777,6905,6829,6306,20040,30.01033289905207
Mergers and Acquisitions,6220,888,184,760,1832,29.45337620578778
Surveying and Cartography,5683,750,384,537,1671,29.403484075312335
Employee Training,35034,4408,2742,3135,10285,29.357195866872182
Livestock Farming,317,50,28,14,92,29.022082018927446
Criminal Investigation and Forensics,2008,150,99,324,573,28.53585657370518
Art and Illustration,2479,278,179,246,703,28.35820895522388
Auditing,71871,5516,4564,10286,20366,28.336881356875512
Compensation and Benefits,5039,444,399,568,1411,28.001587616590594
Budget Management,23547,3659,573,2280,6512,27.655327642587167
Higher Education,1353,126,81,148,355,26.2379896526238
Human Resources Management and Planning,17440,1901,892,1708,4501,25.80848623853211
"Language Interpretation, Translation, and Studies",2439,124,264,212,600,24.600246002460025
Social Studies,5153,394,310,550,1254,24.335338637686785
Cleaning and Janitorial Services,28044,2828,3104,881,6813,24.293966623876766
Merchandising,14600,1307,1605,631,3543,24.267123287671232
Military Operations,1351,112,98,116,326,24.130273871206512
Recruitment,14410,1368,794,1262,3424,23.761276891047885
Emergency Services,3143,290,276,177,743,23.639834552974865
Public Health and Disease Prevention,6520,309,682,537,1528,23.43558282208589
Health Information Management and Medical Records,5935,192,690,503,1385,23.336141533277168
Office Management,11964,762,1038,947,2747,22.96054831160147
Financial Management,30350,3849,688,2428,6965,22.948929159802308
Hospitality Services,2669,138,392,80,610,22.85500187336081
Legal Proceedings,5283,367,206,612,1185,22.430437251561614
Theatre and Performance Art,486,66,26,17,109,22.42798353909465
Human Resources Software,3892,191,186,489,866,22.250770811921893
Hematology,1907,73,303,43,419,21.971683272155218
Real Estate Sales,3835,405,90,332,827,21.564537157757496
Internal Controls,10909,1094,238,1014,2346,21.50517920982675
Cash Register Operation,8029,515,921,277,1713,21.335160044837465
General Lending,17274,1660,888,1132,3680,21.303693412064373
Billing and Invoicing,41224,3684,2342,2721,8747,21.218222394721522
Hotels and Accommodations,472,42,32,25,99,20.97457627118644
Animal Care,1352,135,88,50,273,20.192307692307693
Retail Sales,9809,823,696,460,1979,20.175349169130392
Administrative Support and Clerical Tasks,87951,5021,6423,6147,17591,20.000909597389455
Cash Management,3677,396,101,232,729,19.825945063910797
Clinical Informatics,1812,61,127,171,359,19.812362030905078
Financial Accounting,9422,946,221,645,1812,19.231585650604966
Medical Support,2214,137,196,85,418,18.87985546522132
Oncology,6558,367,564,250,1181,18.008539188777068
Financial Reporting,32204,3153,534,2015,5702,17.705875046578065
Legal Support,2811,147,104,235,486,17.28922091782284
Funeral and Mortuary Services,249,16,20,7,43,17.269076305220885
Property Law,7226,461,302,449,1212,16.772765015222806
Education Administration,2438,173,68,161,402,16.488925348646433
Litigation and Civil Justice,14712,909,514,984,2407,16.36079390973355
Specialized Accounting,4707,404,59,306,769,16.33736987465477
Teaching,121614,6666,6563,6215,19444,15.988290821780387
Medical Imaging,10149,347,743,513,1603,15.794659572371662
Instructional and Curriculum Design,10175,777,450,358,1585,15.577395577395578
Law Enforcement and Criminal Justice,2577,113,74,207,394,15.289095847885138
General Accounting,113453,8666,2176,6346,17188,15.149885855816946
Property Management,4169,230,174,219,623,14.943631566322859
Eye Care,3299,173,166,145,484,14.671112458320703
Travel and Tourism,3524,180,161,176,517,14.67082860385925
Employee Relations,6827,444,214,321,979,14.340120111322689
Music,1074,54,44,52,150,13.966480446927374
Animal Health and Veterinary Medicine,1355,73,74,37,184,13.579335793357934
Accounting and Finance Software,11674,687,289,535,1511,12.943292787390783
Infectious Diseases,5283,145,369,148,662,12.530759038425137
Accounts Payable and Receivable,11596,682,250,505,1437,12.392204208347707
Cardiology,3543,139,209,86,434,12.249506068303697
Pulmonology,4608,197,250,113,560,12.152777777777779
"Ear, Nose, and Throat",1438,71,81,22,174,12.100139082058414
Gastroenterology,1824,78,84,51,213,11.677631578947368
Health Care Administration,9327,346,314,420,1080,11.579285944033451
Food and Beverage,50702,2345,2224,1180,5749,11.338803203029466
Health Care Procedure and Regulation,21885,654,910,885,2449,11.190312999771534
Mobility Assistance,418,11,29,6,46,11.004784688995215
Tax,26337,1515,337,1025,2877,10.923795420890762
Sports and Recreation,3400,138,136,95,369,10.852941176470589
Endocrinology,2170,96,89,50,235,10.829493087557603
Nutrition and Diet,2061,69,105,49,223,10.81999029597283
General Medical Tests and Procedures,10598,336,500,273,1109,10.464238535572749
Hepatology,704,13,40,19,72,10.227272727272727
Childhood Education and Development,27886,986,1130,728,2844,10.198665997274619
Beauty and Body Treatments and Alterations,870,28,34,26,88,10.114942528735632
Blood Collection,3193,35,254,27,316,9.896648919511431
Alternative Therapy,1703,43,84,32,159,9.336465061655902
Orthopedics,5264,170,208,109,487,9.251519756838906
Community and Social Work,15245,457,325,599,1381,9.058707773040341
Urology,1344,50,53,18,121,9.00297619047619
Nephrology,854,33,24,19,76,8.899297423887587
Obstetrics and Gynecology (OBGYN),15454,501,495,376,1372,8.877960398602303
Physical Therapy,16765,265,317,892,1474,8.792126453921862
General Medicine,49775,1082,1517,1619,4218,8.474133601205425
Dermatology,1008,42,26,17,85,8.432539682539682
Neurology,4493,105,167,80,352,7.834409080792343
Religious Studies and Services,1298,31,37,33,101,7.781201848998459
Child Care,2373,42,70,69,181,7.627475769068689
Mental and Behavioral Health Specialties,19216,486,423,526,1435,7.467735220649459
Mental Health Therapies,9313,237,179,260,676,7.258670675399978
Emergency and Intensive Care,15255,337,411,330,1078,7.066535562110784
Labor Compliance,3003,97,40,73,210,6.993006993006993
Dictation,1837,39,43,46,128,6.967882416984214
Anesthesiology,1713,44,48,25,117,6.830122591943958
Coaching and Athletic Training,5256,151,80,115,346,6.582952815829528
Patient Education and Support,10762,222,305,178,705,6.5508269838320015
Pediatrics,2177,48,36,57,141,6.476802939825448
Payroll,6079,112,92,186,390,6.415528869879915
Student Support and Services,7338,155,127,154,436,5.941673480512401
Surgery,13296,277,346,141,764,5.7460890493381465
Rehabilitation,5767,110,136,71,317,5.496792092942605
Oral and Dental Care,3980,69,78,57,204,5.125628140703518
Nursing and Patient Care,56213,737,1098,811,2646,4.7070962232935445
Injury Treatment,2346,65,24,15,104,4.43307757885763
Mental Health Diseases and Disorders,18779,232,245,237,714,3.8021193886788436
Special Education,11294,151,97,157,405,3.585974853904728
Geriatrics,2856,41,34,20,95,3.3263305322128853
Home Health Care and Assisted Living,31857,319,270,263,852,2.67445145493926
Speech Language Pathology,2357,18,19,18,55,2.333474756045821
Dance,103,0,1,1,2,1.941747572815534
Poison Control,2,0,0,0,0,0.0
